plate,status,entry_time,exit_time,duration_minutes,fee,payment_method,entry_camera,exit_camera,user_name,session_uuid
۴۸م۱۵۳-۱۷,waived,2026-07-29T11:03:50.123785+00:00,2026-07-29T11:35:07.874846+00:00,31,17500,waived,entry,exit,,d5f8a236-a88b-41ba-9c57-a162cf202cd0
۴۸م۱۵۳-۱۷,waived,2026-07-29T10:59:49.389964+00:00,2026-07-29T19:06:06.203728+00:00,486,0,waived,entry,,,e2d17d83-7d4f-454b-bada-3c2d1859fed0
۴۸م۱۵۳-۱۷,waived,2026-07-29T10:55:47.473767+00:00,2026-07-29T19:06:06.203728+00:00,490,0,waived,entry,,,1664b7f3-018f-4607-836c-d97203ef8e15
۶۵م۱۶۹-۱۷,waived,2026-07-29T10:54:52.530646+00:00,2026-07-29T19:06:06.203728+00:00,491,0,waived,entry,,,182e926f-a23c-41b6-b8a8-f3132d12997e
۷۵ی۴۷۱-۱۷,waived,2026-07-29T10:52:19.399003+00:00,2026-07-29T19:06:06.203728+00:00,493,0,waived,entry,,,2b7f1692-62a9-49ac-95dd-3ef793e61db8
۸۵و۳۶۳-۱۷,waived,2026-07-29T10:51:37.539637+00:00,2026-07-29T10:53:46.405591+00:00,2,0,waived,entry,exit,,0e2204ca-afe6-4faf-9744-bb0e1b65723a
۹۲ل۹۷۸-۱۷,waived,2026-07-29T10:51:13.368172+00:00,2026-07-29T19:06:06.203728+00:00,494,0,waived,entry,,,5d09aff1-0f35-4cdd-9d21-e1afe5f39239
۸۲ق۴۸۵-۹۲,waived,2026-07-29T10:50:17.854113+00:00,2026-07-29T19:06:06.203728+00:00,495,0,waived,entry,,,309c9502-793f-49e5-8b27-7c70e3ee9ac4
۶۵م۱۶۹-۱۷,waived,2026-07-29T10:49:31.331306+00:00,2026-07-29T19:06:06.203728+00:00,496,0,waived,entry,,,44e53a18-557c-484c-b167-e3afba696c84
۹۳ج۷۱۲-۱۷,waived,2026-07-29T10:44:19.443982+00:00,2026-07-29T19:06:06.203728+00:00,501,0,waived,entry,,,8d29e825-2035-465b-8de9-14b2cd84b7fd
۷۸ی۲۸۳-۱۷,waived,2026-07-29T10:43:22.367178+00:00,2026-07-29T11:34:16.796088+00:00,50,33333,waived,entry,exit,,9e24fe4a-156f-42aa-a46f-5711a4b6bcdd
۴۷د۸۱۹-۱۷,waived,2026-07-29T10:42:54.053871+00:00,2026-07-29T19:06:06.203728+00:00,503,0,waived,entry,,,90d42ac0-3266-4695-a458-8062cdc91e8d
۵۲س۴۳۳-۱۷,waived,2026-07-29T10:41:28.419130+00:00,2026-07-29T19:06:06.203728+00:00,504,0,waived,entry,,,64e8e1d9-3b8e-42f0-933d-80f222168942
۴۱س۹۱۲-۱۷,waived,2026-07-29T10:38:40.229011+00:00,2026-07-29T19:06:06.203728+00:00,507,0,waived,entry,,,f16b164d-e4bc-4215-ba23-64a8a7377b81
۱۵ی۷۲۹-۱۷,waived,2026-07-29T10:38:35.916022+00:00,2026-07-29T19:06:06.203728+00:00,507,0,waived,entry,,,30f4cfc8-38b9-41bc-a900-41743669f9b6
۵۹ب۵۳۹-۱۷,waived,2026-07-29T10:38:22.231574+00:00,2026-07-29T19:06:06.203728+00:00,507,0,waived,entry,,,1bf124c9-8920-4f75-99b9-11d4d8d2fe74
۱۴د۳۷۱-۱۷,waived,2026-07-29T10:38:11.548295+00:00,2026-07-29T19:06:06.203728+00:00,507,0,waived,entry,,,683cf40b-fcb4-49a9-9a3b-9b7086e891cf
۲۵ی۹۲۶-۱۷,waived,2026-07-29T10:33:46.361661+00:00,2026-07-29T12:15:31.536715+00:00,101,75833,waived,entry,exit,,2cb49098-ab7b-4663-b42d-9971c20cdc70
۷۶س۶۴۳-۲۷,waived,2026-07-29T10:31:40.406837+00:00,2026-07-29T10:37:26.936755+00:00,5,0,waived,entry,exit,,16566680-ba10-440a-aff1-a5dd6b0c8a0f
۳۷ی۶۵۶-۱۷,waived,2026-07-29T10:31:07.482719+00:00,2026-07-29T19:06:06.203728+00:00,514,0,waived,entry,,,6459d8aa-0d82-4a1a-99d8-11dd3bc61ac6
۶۲م۸۳۱-۱۷,waived,2026-07-29T10:29:25.625751+00:00,2026-07-29T19:06:06.203728+00:00,516,0,waived,entry,,,14f6f9a1-a934-49cb-85ac-2eaed9c0932a
۹۷و۲۵۱-۱۷,waived,2026-07-29T10:29:10.282904+00:00,2026-07-29T10:34:08.308650+00:00,4,0,waived,entry,exit,,21eff22e-45d3-4409-b15c-9e9099459532
۳۶د۹۵۳-۱۲,waived,2026-07-29T10:28:52.430317+00:00,2026-07-29T19:06:06.203728+00:00,517,0,waived,entry,,,8af8245f-ec01-43a7-94c5-4bca4a385279
۳۶۹۵۳-۱۷,waived,2026-07-29T10:28:50.114140+00:00,2026-07-29T19:06:06.203728+00:00,517,0,waived,entry,,,ab7971ab-e11a-4409-b211-f9f9c66e03b1
۳۷ص۶۲۴-۱۷,waived,2026-07-29T10:26:56.464210+00:00,2026-07-29T11:29:19.409888+00:00,62,43333,waived,entry,exit,,dbe7b0c0-88ee-4ed1-9e35-69f283f0ba89
۳۲ه۸۶۴-۱۷,waived,2026-07-29T10:24:23.297845+00:00,2026-07-29T19:06:06.203728+00:00,521,0,waived,entry,,,f1bee91a-a854-4ad4-8945-074b838bda74
۹۴ل۶۲۶-۵۳,waived,2026-07-29T10:24:05.891093+00:00,2026-07-29T19:06:06.203728+00:00,522,0,waived,entry,,,33d40e45-73a4-435d-ad82-6a85b4f6de56
۵۶و۳۴۳-۱۷,waived,2026-07-29T10:19:28.479974+00:00,2026-07-29T10:46:00.274658+00:00,26,13333,waived,entry,exit,,0e0b82da-e097-456b-8a3b-6d7cc1f1e371
۲۴ه۶۳۸-۱۷,waived,2026-07-29T10:15:42.770090+00:00,2026-07-29T19:06:06.203728+00:00,530,0,waived,entry,,,7840a163-d12a-4406-b0b5-a7d285b8b940
۲۴ه۶۴۸-۱۷,waived,2026-07-29T10:13:34.036843+00:00,2026-07-29T19:06:06.203728+00:00,532,0,waived,entry,,,6db663d9-5c43-429b-93aa-1c8918384df8
۸۱ب۶۳۹-۱۷,waived,2026-07-29T10:13:10.476963+00:00,2026-07-29T19:06:06.203728+00:00,532,0,waived,entry,,,a03633ce-80c5-4c8c-b193-ab5460ddb532
۳۴ه۶۴۸-۱۷,waived,2026-07-29T10:13:01.880755+00:00,2026-07-29T19:06:06.203728+00:00,533,0,waived,entry,,,c356add9-51cb-4fbc-b3b7-021d452c8d95
۲۸م۸۸۳-۲۳,waived,2026-07-29T10:12:10.700219+00:00,2026-07-29T10:34:22.723272+00:00,22,10000,waived,entry,exit,,d5aa4c5f-dab0-4627-b1d8-976e269251bd
۲۴ه۶۴۸-۱۷,waived,2026-07-29T10:11:19.894433+00:00,2026-07-29T19:06:06.203728+00:00,534,0,waived,entry,,,6536aadb-314e-405b-b05e-a6515046def6
۴۱م۹۴۳-۱۷,waived,2026-07-29T10:10:58.001247+00:00,2026-07-29T19:06:06.203728+00:00,535,0,waived,entry,,,43dd81f5-0fd9-483b-b169-ac91551d0916
۸۴ه۶۴۸-۱۷,waived,2026-07-29T10:10:28.105665+00:00,2026-07-29T19:06:06.203728+00:00,535,0,waived,entry,,,e21a83ef-20ce-4bfd-8788-ad4644fd935c
۲۴ه۶۸۷-۱۷,waived,2026-07-29T10:09:29.289646+00:00,2026-07-29T19:06:06.203728+00:00,536,0,waived,entry,,,e710f179-e102-4171-9459-fe40c2f2f4cd
۳۴ه۶۴۸-۱۷,waived,2026-07-29T10:08:19.550910+00:00,2026-07-29T19:06:06.203728+00:00,537,0,waived,entry,,,0ae2d334-99ef-4dc3-b4ae-9ad16c0b2bb9
۲۴ه۶۴۸-۱۷,waived,2026-07-29T10:07:11.173968+00:00,2026-07-29T19:06:06.203728+00:00,538,0,waived,entry,,,b7055126-e84a-4910-9fab-147870189c77
۷۴ه۶۴۸-۱۷,waived,2026-07-29T10:07:01.461003+00:00,2026-07-29T19:06:06.203728+00:00,539,0,waived,entry,,,de6a4fdc-41ac-4116-acd1-8fa34d8e9270
۷۶م۲۷۳-۱۷,waived,2026-07-29T10:05:50.570702+00:00,2026-07-29T10:09:57.329008+00:00,4,0,waived,entry,exit,,ddb8a820-f80b-467e-a02b-48ae669cf031
۳۴ه۶۴۸-۱۷,waived,2026-07-29T10:05:40.505560+00:00,2026-07-29T19:06:06.203728+00:00,540,0,waived,entry,,,6d806fd5-1f8b-4de4-86a3-7c24d4049e36
۲۴ه۶۴۸-۱۷,waived,2026-07-29T10:05:00.447874+00:00,2026-07-29T19:06:06.203728+00:00,541,0,waived,entry,,,d1e8e4db-2f08-45db-9228-968e06bea416
۷۱ب۷۱۸-۱۷,waived,2026-07-29T10:04:14.023357+00:00,2026-07-29T19:06:06.203728+00:00,541,0,waived,entry,,,956e4022-8cad-49c8-86f0-e4d059904bfe
۲۱ی۸۹۲-۱۷,waived,2026-07-29T10:03:53.910068+00:00,2026-07-29T10:13:51.807778+00:00,9,0,waived,entry,exit,,2794d212-d006-4453-9459-63e97513174a
۳۴ه۶۴۸-۱۷,waived,2026-07-29T10:03:28.075549+00:00,2026-07-29T19:06:06.203728+00:00,542,0,waived,entry,,,287b252a-9753-48aa-9bf1-585e36a1f75b
۲۴ه۶۸۱-۷۰,waived,2026-07-29T10:03:16.982067+00:00,2026-07-29T19:06:06.203728+00:00,542,0,waived,entry,,,431ff6e7-fe67-4067-9718-484ebd73cc6a
۹۳س۳۹۱-۲۷,waived,2026-07-29T10:01:12.304224+00:00,2026-07-29T10:07:03.678216+00:00,5,0,waived,entry,exit,,a40052b7-e1e6-4fc4-bf42-3234a28595a8
۳۴ه۶۴۸-۱۷,waived,2026-07-29T10:01:05.310163+00:00,2026-07-29T19:06:06.203728+00:00,545,0,waived,entry,,,853f99b6-2a5c-4f3e-84f8-4d8b3332436a
۴۱ص۸۴۷-۱۷,waived,2026-07-29T09:55:14.053820+00:00,2026-07-29T13:54:53.788749+00:00,239,190833,waived,entry,exit,,d905a201-a32c-4617-935e-0fbf20f68a42
۹۲۸۷۷-۱۳,waived,2026-07-29T09:46:01.155634+00:00,2026-07-29T19:06:06.203728+00:00,560,0,waived,entry,,,00d39315-c357-4770-88b8-0898ee033893
۹۳۲۸۷-۷۱,waived,2026-07-29T09:45:56.647535+00:00,2026-07-29T19:06:06.203728+00:00,560,0,waived,entry,,,90ed8875-8a93-4128-b1b5-1b1a6a038b96
۹۲ج۸۷۷-۱۳,waived,2026-07-29T09:45:40.544165+00:00,2026-07-29T19:06:06.203728+00:00,560,0,waived,entry,,,0eac7312-1ed0-45da-9d53-307c351ec313
۹۳۸۷۷-۱۱,waived,2026-07-29T09:45:31.531672+00:00,2026-07-29T19:06:06.203728+00:00,560,0,waived,entry,,,0edd4a42-bfb2-48bb-b1e5-76914751ecdd
۹۳ج۸۷۷-۱۱,waived,2026-07-29T09:45:29.238249+00:00,2026-07-29T19:06:06.203728+00:00,560,0,waived,entry,,,c5fe3af0-cc5e-4838-82dd-64f28162d04a
۴۸ط۸۵۴-۱۸,waived,2026-07-29T09:42:28.689385+00:00,2026-07-29T19:06:06.203728+00:00,563,0,waived,entry,,,343861e2-6163-4cbd-a4ab-0b4d1b3ade6f
۵۸ه۵۳۲-۱۷,waived,2026-07-29T09:35:47.972623+00:00,2026-07-29T19:06:06.203728+00:00,570,0,waived,entry,,,039b6bb2-cb9c-4b8c-8fc8-af88e8190f29
۵۲ن۷۷۷-۱۷,waived,2026-07-29T09:32:45.072855+00:00,2026-07-29T19:06:06.203728+00:00,573,0,waived,entry,,,d46012a8-ba5d-45e0-af6d-a794c4a3a34a
۵۲ن۹۷۱-۱۷,waived,2026-07-29T09:32:31.604097+00:00,2026-07-29T19:06:06.203728+00:00,573,0,waived,entry,,,fb5e123f-6a33-4810-af50-9fa1c874998b
۱۳ه۱۷۶-۱۷,waived,2026-07-29T09:30:55.956990+00:00,2026-07-29T11:41:26.864275+00:00,130,100000,waived,entry,exit,,a58e31be-8c4e-4f34-966c-8bfa2742ee4c
۳۲ی۸۱۵-۱۷,waived,2026-07-29T09:30:33.565383+00:00,2026-07-29T09:38:02.010248+00:00,7,0,waived,entry,exit,,7a720f4c-cf5d-4f95-bb61-6db6a8af58f3
۹۴د۷۱۷-۱۷,waived,2026-07-29T09:30:09.380008+00:00,2026-07-29T19:06:06.203728+00:00,575,0,waived,entry,,,9cb4d054-3caf-4918-b936-de042161bd27
۶۲ه۷۴۸-۱۵,waived,2026-07-29T09:27:44.887685+00:00,2026-07-29T10:11:40.186181+00:00,43,27500,waived,entry,exit,,8a71c2bb-d1ff-4923-a2c9-7a7f1a78ff76
۹۶ج۴۹۳-۱۷,waived,2026-07-29T09:23:53.660096+00:00,2026-07-29T10:06:30.002897+00:00,42,26666,waived,entry,exit,,fb39445e-6747-4e85-a6a5-9da5affa1e64
۶۹س۵۳۱-۱۷,waived,2026-07-29T09:21:53.775083+00:00,2026-07-29T19:06:06.203728+00:00,584,0,waived,entry,,,15849db7-48f3-4e00-b276-bf03529d6c65
۹۴ج۸۸۳-۱۷,waived,2026-07-29T09:19:23.281746+00:00,2026-07-29T19:06:06.203728+00:00,586,0,waived,entry,,,b7b9fad1-6706-4878-b0d3-888ef055c8b3
۹۱ی۳۷۶-۱۷,waived,2026-07-29T09:18:11.497214+00:00,2026-07-29T19:06:06.203728+00:00,587,0,waived,entry,,,8808b71b-39c5-45d9-9721-e2113f9b2124
۳۴د۱۸۹-۱۷,waived,2026-07-29T09:15:13.536720+00:00,2026-07-29T19:06:06.203728+00:00,590,0,waived,entry,,,6082f379-87a5-4536-9d84-ef5fabdaedd5
۶۵ل۹۳۲-۱۷,waived,2026-07-29T09:14:59.996668+00:00,2026-07-29T19:06:06.203728+00:00,591,0,waived,entry,,,0ba2e8c6-d742-4400-a507-d7fe0da5af7d
۲۵ی۹۷۳-۷۷,waived,2026-07-29T09:14:17.922106+00:00,2026-07-29T19:06:06.203728+00:00,591,0,waived,entry,,,ba239af4-8215-4c99-a125-ad797da94c87
۱۸ب۲۲۹-۲۷,waived,2026-07-29T09:14:00.557977+00:00,2026-07-29T19:06:06.203728+00:00,592,0,waived,entry,,,f1fc301a-14ca-484d-a081-70b923ee2abc
۲۵ه۷۸۴-۲۷,waived,2026-07-29T09:13:49.394736+00:00,2026-07-29T09:51:40.700209+00:00,37,22500,waived,entry,exit,,ac2ecbbc-2a7e-4c17-b81f-5491a8d00138
۵۴م۸۴۹-۱۷,waived,2026-07-29T09:13:33.657913+00:00,2026-07-29T19:06:06.203728+00:00,592,0,waived,entry,,,3d6ad7ed-057a-4658-a953-08f7641bc2d0
۷۶ط۹۳۹-۱۷,waived,2026-07-29T09:13:07.457687+00:00,2026-07-29T19:06:06.203728+00:00,592,0,waived,entry,,,9cbb9597-102d-4ffd-88c8-be901f657f66
۴۱م۹۴۳-۱۷,waived,2026-07-29T09:12:52.036608+00:00,2026-07-29T19:06:06.203728+00:00,593,0,waived,entry,,,7a41666c-fd78-4a0c-81c7-4406cd74619e
۴۲۳۵۹-۱۷,waived,2026-07-29T09:12:23.531307+00:00,2026-07-29T19:06:06.203728+00:00,593,0,waived,entry,,,5f1be9e3-b2fb-4bbd-aa93-49dcc5bbfd57
۲۹س۵۳۷-۱۰,waived,2026-07-29T09:12:12.749615+00:00,2026-07-29T12:15:19.673050+00:00,183,144166,waived,entry,exit,,533118f2-8ecb-453e-b24e-131783eca844
۲۵س۴۹۴-۱۷,waived,2026-07-29T09:11:44.017147+00:00,2026-07-29T19:06:06.203728+00:00,594,0,waived,entry,,,17f8c544-3059-4439-8720-319c65c97c55
۴۴س۳۶۳-۱۷,waived,2026-07-29T09:11:23.846522+00:00,2026-07-29T19:06:06.203728+00:00,594,0,waived,entry,,,57751bd8-7afa-4ae0-bc2a-8ec3713877d8
۳۸و۶۱۸-۱۷,waived,2026-07-29T09:11:19.319776+00:00,2026-07-29T19:06:06.203728+00:00,594,0,waived,entry,,,6089945a-77af-45f2-940a-dae632f6c045
۴۷ب۱۶۲-۲۷,waived,2026-07-29T09:10:48.235093+00:00,2026-07-29T19:06:06.203728+00:00,595,0,waived,entry,,,2bfe08c9-c5a1-463a-81ed-300436121655
۹۱ی۳۷۶-۱۷,waived,2026-07-29T09:09:45.085599+00:00,2026-07-29T19:06:06.203728+00:00,596,0,waived,entry,,,78fe571b-3137-4b85-b19b-8ac33414f9fd
۴۸ج۲۱۱-۲۷,waived,2026-07-29T09:05:56.284520+00:00,2026-07-29T11:16:05.366197+00:00,130,100000,waived,entry,exit,,c0611f62-c0a7-43a7-8c20-574a2e31ca1d
۴۸۲۱۱-۲۷,waived,2026-07-29T09:05:54.022586+00:00,2026-07-29T19:06:06.203728+00:00,600,0,waived,entry,,,a4f15a62-6047-4549-a6fc-261e7b9cdd17
۱۳ه۱۷۶-۱۷,waived,2026-07-29T09:05:09.420473+00:00,2026-07-29T19:06:06.203728+00:00,600,0,waived,entry,,,da4f8f35-fda0-4ff4-ba4a-0f665b41f361
۷۲و۴۸۳-۱۷,waived,2026-07-29T09:04:45.149929+00:00,2026-07-29T19:06:06.203728+00:00,601,0,waived,entry,,,74ee4e14-c24c-4f26-8f83-56125414e622
۹۷م۳۴۶-۸۸,waived,2026-07-29T09:00:44.832100+00:00,2026-07-29T10:06:41.202232+00:00,65,45833,waived,entry,exit,,9a7655e2-cdbc-4161-8ff5-ce2d9f6ffcd4
۱۸ب۶۷۴-۵۵,waived,2026-07-29T09:00:14.438090+00:00,2026-07-29T12:32:56.944455+00:00,212,168333,waived,entry,exit,,abb4a812-d428-46d9-9df8-c95cf8253c32
۳۵ب۵۹۷-۱۷,waived,2026-07-29T09:00:02.543258+00:00,2026-07-29T11:11:14.144648+00:00,131,100833,waived,entry,exit,,a1054622-0c80-4cd4-81b1-183d79d70adf
۸۷ی۸۴۵-۱۷,waived,2026-07-29T08:54:58.730579+00:00,2026-07-29T19:06:06.203728+00:00,611,0,waived,entry,,,55760928-f8e6-4c04-b54f-a95b7ba917a3
۷۳ی۴۵۷-۱۷,waived,2026-07-29T08:54:05.931983+00:00,2026-07-29T19:06:06.203728+00:00,612,0,waived,entry,,,c2c715f2-b597-4a55-a403-755ea6e81592
